rank,country_full,country_abrv,total_points,previous_points,rank_change,confederation,rank_date
1.0,Argentina,ARG,1858.0,1855.2,0,CONMEBOL,2024-04-04
80.0,Bahrain,BHR,1307.53,1297.32,-2,AFC,2024-04-04
79.0,Equatorial Guinea,EQG,1308.03,1310.5,0,CAF,2024-04-04
78.0,Israel,ISR,1311.39,1323.43,3,UEFA,2024-04-04
77.0,Oman,OMA,1323.23,1307.6,-3,AFC,2024-04-04
76.0,Guinea,GUI,1324.65,1320.42,0,CAF,2024-04-04
75.0,Georgia,GEO,1333.76,1312.45,-2,UEFA,2024-04-04
74.0,Bosnia and Herzegovina,BIH,1335.6,1343.32,3,UEFA,2024-04-04
73.0,Northern Ireland,NIR,1341.05,1333.17,-1,UEFA,2024-04-04
72.0,Iceland,ISL,1346.82,1342.57,-1,UEFA,2024-04-04
71.0,Jordan,JOR,1350.21,1343.6,1,AFC,2024-04-04
81.0,El Salvador,SLV,1305.02,1306.14,0,CONCACAF,2024-04-04
70.0,Montenegro,MNE,1351.72,1342.64,-2,UEFA,2024-04-04
68.0,Ghana,GHA,1358.77,1363.42,1,CAF,2024-04-04
67.0,United Arab Emirates,UAE,1366.45,1355.55,-2,AFC,2024-04-04
66.0,Albania,ALB,1375.1,1382.69,2,UEFA,2024-04-04
65.0,Cabo Verde,CPV,1383.44,1377.06,0,CAF,2024-04-04
64.0,Uzbekistan,UZB,1386.58,1376.5,-2,AFC,2024-04-04
63.0,Congo DR,COD,1388.25,1388.25,0,CAF,2024-04-04
62.0,Burkina Faso,BFA,1390.38,1399.92,1,CAF,2024-04-04
61.0,Finland,FIN,1394.44,1401.31,1,UEFA,2024-04-04
60.0,Republic of Ireland,IRL,1399.74,1399.6,-2,UEFA,2024-04-04
59.0,South Africa,RSA,1407.67,1410.23,1,CAF,2024-04-04
69.0,North Macedonia,MKD,1354.19,1362.17,1,UEFA,2024-04-04
82.0,Honduras,HON,1301.92,1311.43,4,CONCACAF,2024-04-04
83.0,Bulgaria,BUL,1292.59,1289.9,0,UEFA,2024-04-04
84.0,Gabon,GAB,1287.33,1289.52,0,CAF,2024-04-04
107.0,Kenya,KEN,1191.24,1181.92,-4,CAF,2024-04-04
106.0,Namibia,NAM,1192.13,1192.13,-1,CAF,2024-04-04
105.0,Mauritania,MTN,1195.5,1194.48,-1,CAF,2024-04-04
104.0,New Zealand,NZL,1197.68,1197.47,1,OFC,2024-04-04
103.0,Kazakhstan,KAZ,1203.64,1215.16,3,UEFA,2024-04-04
102.0,Kosovo,KOS,1205.85,1202.77,0,UEFA,2024-04-04
101.0,Thailand,THA,1208.93,1206.72,0,AFC,2024-04-04
100.0,Kyrgyz Republic,KGZ,1213.6,1196.97,-4,AFC,2024-04-04
99.0,Tajikistan,TJK,1216.76,1218.89,0,AFC,2024-04-04
98.0,Trinidad and Tobago,TRI,1220.65,1228.05,2,CONCACAF,2024-04-04
97.0,Benin,BEN,1225.68,1225.1,-1,CAF,2024-04-04
96.0,Belarus,BLR,1226.54,1232.8,1,UEFA,2024-04-04
95.0,Armenia,ARM,1229.18,1237.15,1,UEFA,2024-04-04
94.0,Angola,ANG,1235.76,1238.11,1,CAF,2024-04-04
93.0,Palestine,PLE,1238.66,1227.2,-4,AFC,2024-04-04
92.0,Uganda,UGA,1242.15,1246.88,0,CAF,2024-04-04
91.0,Curacao,CUW,1262.48,1262.48,0,CONCACAF,2024-04-04
90.0,Haiti,HAI,1262.5,1262.5,0,CONCACAF,2024-04-04
89.0,Syria,SYR,1266.52,1265.51,0,AFC,2024-04-04
88.0,China PR,CHN,1275.22,1273.78,0,AFC,2024-04-04
87.0,Luxembourg,LUX,1277.94,1285.41,2,UEFA,2024-04-04
86.0,Zambia,ZAM,1278.26,1275.71,-1,CAF,2024-04-04
85.0,Bolivia,BOL,1283.88,1284.55,-1,CONMEBOL,2024-04-04
58.0,Iraq,IRQ,1420.47,1409.44,-1,AFC,2024-04-04
108.0,Guatemala,GUA,1188.28,1188.17,0,CONCACAF,2024-04-04
57.0,Slovenia,SVN,1427.84,1431.4,2,UEFA,2024-04-04
55.0,Jamaica,JAM,1435.33,1421.54,-2,CONCACAF,2024-04-04
